number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.1088277871410052,2025-10-12 10:09:57.029323,2025-10-12 10:10:07.700861,0 days 00:00:10.671538,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.16206424648118176,2025-10-12 10:10:07.701934,2025-10-12 10:10:21.514447,0 days 00:00:13.812513,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.17243395196572664,2025-10-12 10:10:21.515487,2025-10-12 10:11:00.260784,0 days 00:00:38.745297,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.034798825780550637,2025-10-12 10:11:00.261892,2025-10-12 10:11:04.077327,0 days 00:00:03.815435,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.02559066501756509,2025-10-12 10:11:04.078302,2025-10-12 10:11:07.882770,0 days 00:00:03.804468,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,0.4305424094200134,2025-10-12 10:11:07.883859,2025-10-12 10:11:09.959497,0 days 00:00:02.075638,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,1.3016812801361084,2025-10-12 10:11:09.960311,2025-10-12 10:11:11.632702,0 days 00:00:01.672391,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,0.24025414884090424,2025-10-12 10:11:11.633466,2025-10-12 10:11:13.354673,0 days 00:00:01.721207,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,PRUNED
8,0.19347955992347315,2025-10-12 10:11:13.355526,2025-10-12 10:11:15.141898,0 days 00:00:01.786372,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,PRUNED
9,0.23067808151245117,2025-10-12 10:11:15.142731,2025-10-12 10:11:16.973932,0 days 00:00:01.831201,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,0.06722819805145264,2025-10-12 10:11:16.974722,2025-10-12 10:11:18.855290,0 days 00:00:01.880568,48,0.09324522839369946,96,2,0.004030569392910079,45,21,PRUNED
11,0.1421911186642117,2025-10-12 10:11:18.856108,2025-10-12 10:11:22.738920,0 days 00:00:03.882812,16,0.21836809098644178,192,3,0.0013925775134839646,30,10,PRUNED
12,0.033794265861312546,2025-10-12 10:11:22.739696,2025-10-12 10:11:26.445929,0 days 00:00:03.706233,16,0.44471368115060533,128,3,0.0006808731843226133,30,28,COMPLETE
13,0.15459246933460236,2025-10-12 10:11:26.446851,2025-10-12 10:11:28.474490,0 days 00:00:02.027639,48,0.027807409174708225,96,3,0.0011286767684426178,75,10,PRUNED
14,0.25076115131378174,2025-10-12 10:11:28.475277,2025-10-12 10:11:30.239733,0 days 00:00:01.764456,64,0.07882901873659805,96,3,0.0011301276852715492,45,21,PRUNED
15,0.05473150219768286,2025-10-12 10:11:30.240554,2025-10-12 10:11:33.915780,0 days 00:00:03.675226,96,0.29158785020443734,96,3,0.0037855274005181828,45,28,COMPLETE
16,0.22266086465434023,2025-10-12 10:11:33.916802,2025-10-12 10:11:36.520090,0 days 00:00:02.603288,16,0.36674381588754446,128,3,0.00018768583724533485,75,14,PRUNED
17,0.0938856303691864,2025-10-12 10:11:36.520857,2025-10-12 10:11:38.335359,0 days 00:00:01.814502,48,0.03500164334941279,160,3,0.002308990193483961,60,21,PRUNED
18,0.11792400479316711,2025-10-12 10:11:38.336160,2025-10-12 10:11:40.181122,0 days 00:00:01.844962,48,0.13334223998400638,128,3,0.002786669114828087,45,7,PRUNED
19,0.10320037309276431,2025-10-12 10:11:40.181959,2025-10-12 10:11:42.052624,0 days 00:00:01.870665,16,0.4964691329960079,128,3,0.004689619993729535,30,14,PRUNED
20,0.09286735206842422,2025-10-12 10:11:42.053425,2025-10-12 10:11:43.724864,0 days 00:00:01.671439,48,0.1409943799209293,96,3,0.00424830303940631,30,14,PRUNED
21,0.07801882177591324,2025-10-12 10:11:43.725617,2025-10-12 10:11:45.607792,0 days 00:00:01.882175,16,0.4660890006224198,128,3,0.0006448659915449732,30,28,PRUNED
22,0.04100424097850919,2025-10-12 10:11:45.608646,2025-10-12 10:11:48.413262,0 days 00:00:02.804616,16,0.36222554090953935,128,3,0.001663490020012735,45,21,PRUNED
23,0.020831480622291565,2025-10-12 10:11:48.414243,2025-10-12 10:11:51.061767,0 days 00:00:02.647524,16,0.33740858887276415,160,3,0.0013663170173318967,90,28,PRUNED
24,0.4577752351760864,2025-10-12 10:11:51.062744,2025-10-12 10:11:52.694142,0 days 00:00:01.631398,48,0.42026859586415594,96,2,0.0005223878789004532,30,28,PRUNED
25,0.07727605764133234,2025-10-12 10:11:52.694962,2025-10-12 10:11:55.867391,0 days 00:00:03.172429,16,0.0038144640755345544,96,3,0.004759001260841404,75,21,COMPLETE
26,0.0534653477370739,2025-10-12 10:11:55.868314,2025-10-12 10:11:57.708467,0 days 00:00:01.840153,16,0.41750995509381417,192,2,0.001624086911183942,60,28,PRUNED
27,0.15991891423861185,2025-10-12 10:11:57.709214,2025-10-12 10:11:59.910207,0 days 00:00:02.200993,16,0.24251867155786103,128,3,0.0002572949542705255,30,7,PRUNED
28,0.12337009608745575,2025-10-12 10:11:59.911210,2025-10-12 10:12:02.231736,0 days 00:00:02.320526,128,0.40608396491776966,128,3,0.001624915801085626,75,28,PRUNED
29,0.20941317081451416,2025-10-12 10:12:02.234180,2025-10-12 10:12:04.127704,0 days 00:00:01.893524,48,0.38749261022689974,128,3,0.0014705766559426911,30,7,PRUNED
30,0.19592823721094674,2025-10-12 10:12:04.128566,2025-10-12 10:12:09.600886,0 days 00:00:05.472320,128,0.05754750962297404,64,3,0.0031139018802338087,45,5,PRUNED
31,0.031775787783165775,2025-10-12 10:12:09.601809,2025-10-12 10:12:12.329215,0 days 00:00:02.727406,96,0.4357454695354198,96,3,0.0030915077392977457,45,28,COMPLETE
32,0.23744072020053864,2025-10-12 10:12:12.330092,2025-10-12 10:12:14.649190,0 days 00:00:02.319098,96,0.4548352555444097,96,3,0.0010462167050836618,90,21,PRUNED
33,0.2645105596968163,2025-10-12 10:12:14.650334,2025-10-12 10:12:20.304012,0 days 00:00:05.653678,96,0.3668526213584483,192,3,0.0015418236747341862,45,5,PRUNED
