number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,3.0276621182759604,2025-10-12 09:15:46.266008,2025-10-12 09:15:50.384864,0 days 00:00:04.118856,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.5707733842259107,2025-10-12 09:15:50.387049,2025-10-12 09:16:11.595555,0 days 00:00:21.208506,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.5262418020497358,2025-10-12 09:16:11.597027,2025-10-12 09:16:51.412839,0 days 00:00:39.815812,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,2.4736295342445374,2025-10-12 09:16:51.413888,2025-10-12 09:16:54.648462,0 days 00:00:03.234574,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,3.979022741317749,2025-10-12 09:16:54.650404,2025-10-12 09:16:57.018627,0 days 00:00:02.368223,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,4.538532733917236,2025-10-12 09:16:57.019493,2025-10-12 09:16:58.413563,0 days 00:00:01.394070,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,9.44934368133545,2025-10-12 09:16:58.414342,2025-10-12 09:16:59.695106,0 days 00:00:01.280764,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,6.357883930206299,2025-10-12 09:16:59.695831,2025-10-12 09:17:01.028489,0 days 00:00:01.332658,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,PRUNED
8,5.6935011713128345,2025-10-12 09:17:01.029291,2025-10-12 09:17:02.464478,0 days 00:00:01.435187,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,PRUNED
9,4.076179504394531,2025-10-12 09:17:02.465183,2025-10-12 09:17:03.914623,0 days 00:00:01.449440,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,6.0217742919921875,2025-10-12 09:17:03.915369,2025-10-12 09:17:05.264110,0 days 00:00:01.348741,16,0.34985369348937084,96,1,0.000164396242069258,90,28,PRUNED
11,0.5777938841196161,2025-10-12 09:17:05.264824,2025-10-12 09:17:19.039503,0 days 00:00:13.774679,32,0.007121308865794327,128,2,0.00409505343344207,75,5,COMPLETE
12,0.5060033734257893,2025-10-12 09:17:19.040376,2025-10-12 09:17:36.160099,0 days 00:00:17.119723,96,0.4448678460931828,192,1,0.00025639657664216847,90,5,COMPLETE
13,0.4704843551804421,2025-10-12 09:17:36.161355,2025-10-12 09:18:14.398807,0 days 00:00:38.237452,16,0.4886394607335599,192,1,0.00024700472235646305,60,5,COMPLETE
14,0.4676442702536224,2025-10-12 09:18:14.399942,2025-10-12 09:18:33.154883,0 days 00:00:18.754941,32,0.3556986890697143,192,1,0.0005322802105441907,60,5,COMPLETE
15,9.07457946328556,2025-10-12 09:18:33.156033,2025-10-12 09:18:34.660758,0 days 00:00:01.504725,16,0.4906997471631776,192,2,0.00012542042864733307,60,21,PRUNED
16,0.46887120915447933,2025-10-12 09:18:34.661531,2025-10-12 09:18:53.985809,0 days 00:00:19.324278,64,0.35292092563636607,160,2,0.0006304034204300496,60,5,COMPLETE
17,0.49886955220905765,2025-10-12 09:18:53.987044,2025-10-12 09:19:07.937864,0 days 00:00:13.950820,32,0.41616878705678156,96,1,0.0017907554716782243,60,5,COMPLETE
18,0.47344696589299534,2025-10-12 09:19:07.939000,2025-10-12 09:19:33.292617,0 days 00:00:25.353617,64,0.3068327575381336,160,2,0.00016910433434755786,60,5,COMPLETE
19,0.7029043585062027,2025-10-12 09:19:33.293863,2025-10-12 09:19:37.869189,0 days 00:00:04.575326,64,0.4918853110417104,160,2,0.004641755502341648,60,5,PRUNED
20,3.333176851272583,2025-10-12 09:19:37.869911,2025-10-12 09:19:39.173542,0 days 00:00:01.303631,32,0.3984005867367236,192,1,0.0005848922919188429,30,10,PRUNED
21,0.49811018363035864,2025-10-12 09:19:39.174379,2025-10-12 09:20:01.795641,0 days 00:00:22.621262,32,0.4970652362649381,64,1,0.00034666173147270007,60,5,PRUNED
22,0.4865330984307159,2025-10-12 09:20:01.796455,2025-10-12 09:20:31.179753,0 days 00:00:29.383298,16,0.3358926153356554,192,1,0.00029583137844020147,60,5,COMPLETE
23,0.4589793352170033,2025-10-12 09:20:31.180903,2025-10-12 09:20:53.810116,0 days 00:00:22.629213,48,0.32843323253550744,160,3,0.0008441998647455627,60,5,COMPLETE
24,0.49913354869383086,2025-10-12 09:20:53.811292,2025-10-12 09:21:13.666125,0 days 00:00:19.854833,48,0.4491427378835886,160,3,0.0005369775490331989,75,5,COMPLETE
25,7.458913326263428,2025-10-12 09:21:13.667625,2025-10-12 09:21:15.461384,0 days 00:00:01.793759,32,0.1700165776372807,160,2,0.0011261645672036107,60,21,PRUNED
26,1.45149827003479,2025-10-12 09:21:15.463994,2025-10-12 09:21:17.050942,0 days 00:00:01.586948,48,0.25150335484031106,192,3,0.0011597620203906667,60,28,PRUNED
27,3.393867015838623,2025-10-12 09:21:17.051656,2025-10-12 09:21:18.486168,0 days 00:00:01.434512,128,0.4319062839088468,160,2,0.0008524490108880735,60,10,PRUNED
28,0.5223169967063667,2025-10-12 09:21:18.486854,2025-10-12 09:21:37.823063,0 days 00:00:19.336209,48,0.28885953597362435,160,3,0.0014047889790968855,60,5,COMPLETE
29,0.6712707982343786,2025-10-12 09:21:37.824308,2025-10-12 09:21:43.025162,0 days 00:00:05.200854,64,0.23306160268720613,160,1,0.0017058531131736222,90,5,PRUNED
30,2.538990020751953,2025-10-12 09:21:43.025906,2025-10-12 09:21:44.359164,0 days 00:00:01.333258,64,0.3139482303954746,160,2,0.0008959716498540191,60,28,PRUNED
31,4.083337306976318,2025-10-12 09:21:44.359906,2025-10-12 09:21:45.862941,0 days 00:00:01.503035,48,0.4122689938583773,64,3,0.0008107597182051403,60,7,PRUNED
