number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.04325949028134346,2025-10-12 10:20:47.086031,2025-10-12 10:20:50.770297,0 days 00:00:03.684266,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.05397955295898268,2025-10-12 10:20:50.771151,2025-10-12 10:21:08.139093,0 days 00:00:17.367942,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.06042686038378223,2025-10-12 10:21:08.141664,2025-10-12 10:21:31.909564,0 days 00:00:23.767900,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.010067428462207317,2025-10-12 10:21:31.910537,2025-10-12 10:21:35.280580,0 days 00:00:03.370043,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.007162052866381903,2025-10-12 10:21:35.282076,2025-10-12 10:21:38.260299,0 days 00:00:02.978223,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,0.07460295408964157,2025-10-12 10:21:38.261169,2025-10-12 10:21:40.034352,0 days 00:00:01.773183,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,0.1219310313463211,2025-10-12 10:21:40.035144,2025-10-12 10:21:41.774787,0 days 00:00:01.739643,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,0.0051787445942560835,2025-10-12 10:21:41.775597,2025-10-12 10:21:45.361507,0 days 00:00:03.585910,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,COMPLETE
8,0.017054740988992546,2025-10-12 10:21:45.362441,2025-10-12 10:21:48.015528,0 days 00:00:02.653087,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,PRUNED
9,0.04779110103845596,2025-10-12 10:21:48.016473,2025-10-12 10:21:50.174907,0 days 00:00:02.158434,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,0.004843315226025879,2025-10-12 10:21:50.175767,2025-10-12 10:21:53.413779,0 days 00:00:03.238012,128,0.3428488779537034,64,3,0.003768431803452871,45,14,COMPLETE
11,0.011738165281713009,2025-10-12 10:21:53.414693,2025-10-12 10:21:55.220001,0 days 00:00:01.805308,64,0.44494999562305526,64,3,0.0016734272038674074,60,14,PRUNED
12,0.020636877045035362,2025-10-12 10:21:55.220757,2025-10-12 10:21:56.983156,0 days 00:00:01.762399,128,0.1287952771924862,64,3,0.0009772455167564023,45,14,PRUNED
13,0.05529444292187691,2025-10-12 10:21:56.983989,2025-10-12 10:21:58.874699,0 days 00:00:01.890710,128,0.35374206562635524,64,3,0.0036237358944747025,45,10,PRUNED
14,0.012841540388762951,2025-10-12 10:21:58.875596,2025-10-12 10:22:01.126213,0 days 00:00:02.250617,64,0.3414207559840784,96,3,0.0005157130727793208,45,14,PRUNED
15,0.012384386733174324,2025-10-12 10:22:01.127659,2025-10-12 10:22:03.177457,0 days 00:00:02.049798,48,0.4946983447984433,64,2,0.003981800226160295,45,14,PRUNED
16,0.008124617859721184,2025-10-12 10:22:03.178359,2025-10-12 10:22:06.368903,0 days 00:00:03.190544,128,0.3458701196397771,192,3,0.001414737186059761,75,14,PRUNED
17,0.022296901792287827,2025-10-12 10:22:06.370017,2025-10-12 10:22:08.155283,0 days 00:00:01.785266,64,0.20392941597747727,64,2,0.0038003901318577316,90,21,PRUNED
18,0.0684652073763585,2025-10-12 10:22:08.156065,2025-10-12 10:22:14.723646,0 days 00:00:06.567581,64,0.4556468773502071,64,3,0.0006841724354716166,45,5,PRUNED
19,0.006071908671098451,2025-10-12 10:22:14.725702,2025-10-12 10:22:18.153011,0 days 00:00:03.427309,96,0.40026734177465645,128,3,0.003396815201103198,45,14,COMPLETE
20,0.004746033810079098,2025-10-12 10:22:18.153949,2025-10-12 10:22:21.648115,0 days 00:00:03.494166,128,0.31509087378016304,160,3,0.0036749130007170424,90,14,PRUNED
21,0.009379927262974283,2025-10-12 10:22:21.648996,2025-10-12 10:22:24.451076,0 days 00:00:02.802080,96,0.299093694666879,192,3,0.001713215917902161,45,28,COMPLETE
22,0.009231534786522388,2025-10-12 10:22:24.451986,2025-10-12 10:22:26.625068,0 days 00:00:02.173082,64,0.3304338450298,128,3,0.004180800946446556,45,14,PRUNED
23,0.08448155224323273,2025-10-12 10:22:26.627462,2025-10-12 10:22:29.132898,0 days 00:00:02.505436,96,0.4231847010514988,128,3,0.002178782676164819,75,7,PRUNED
24,0.008429326117038727,2025-10-12 10:22:29.133746,2025-10-12 10:22:31.055693,0 days 00:00:01.921947,96,0.37993363106978795,128,3,0.0022587020104813,45,14,PRUNED
25,0.013886800967156887,2025-10-12 10:22:31.056459,2025-10-12 10:22:32.802371,0 days 00:00:01.745912,128,0.3770327956193952,128,2,0.002250091632213609,60,21,PRUNED
26,0.005593563437159582,2025-10-12 10:22:32.803162,2025-10-12 10:22:37.689597,0 days 00:00:04.886435,16,0.4591493751115451,160,3,0.001128799908726731,45,14,COMPLETE
27,0.03658617287874222,2025-10-12 10:22:37.690496,2025-10-12 10:22:39.750751,0 days 00:00:02.060255,48,0.4805860773663004,160,3,0.000804894176214072,45,7,PRUNED
28,0.06103491265463789,2025-10-12 10:22:39.752508,2025-10-12 10:22:50.392028,0 days 00:00:10.639520,16,0.38787542835464917,160,3,0.0018192570160090937,45,5,PRUNED
29,0.006145050430572347,2025-10-12 10:22:50.392948,2025-10-12 10:22:54.773582,0 days 00:00:04.380634,16,0.4267940830269938,160,3,0.0003822091578212777,45,14,PRUNED
30,0.0032288695664120545,2025-10-12 10:22:54.774595,2025-10-12 10:22:58.718507,0 days 00:00:03.943912,16,0.4280690332390892,160,3,0.001560685108436147,30,14,PRUNED
31,0.009784364018981395,2025-10-12 10:22:58.719251,2025-10-12 10:23:00.994116,0 days 00:00:02.274865,16,0.47637671186363756,64,3,0.0010739235425322403,45,14,PRUNED
32,0.010889289900660515,2025-10-12 10:23:00.994945,2025-10-12 10:23:03.030648,0 days 00:00:02.035703,32,0.3615928624356757,64,2,0.004399574399837407,75,14,PRUNED
33,0.018196551129221916,2025-10-12 10:23:03.031493,2025-10-12 10:23:04.916351,0 days 00:00:01.884858,128,0.46351898018077875,64,3,0.002659097565161458,30,14,PRUNED
34,0.0776153502450091,2025-10-12 10:23:04.917194,2025-10-12 10:23:10.942995,0 days 00:00:06.025801,96,0.4462238298121336,192,3,0.00375608317355095,30,5,PRUNED
35,0.004947267278718452,2025-10-12 10:23:10.943938,2025-10-12 10:23:13.849789,0 days 00:00:02.905851,32,0.4791994250592436,64,3,0.0026874629492960583,45,28,COMPLETE
36,0.00821947492659092,2025-10-12 10:23:13.850709,2025-10-12 10:23:15.926009,0 days 00:00:02.075300,32,0.43899088073307,64,3,0.0021133992253893814,45,28,PRUNED
37,0.05345851555466652,2025-10-12 10:23:15.926759,2025-10-12 10:23:17.958217,0 days 00:00:02.031458,32,0.49025508096297093,192,3,0.00265157656153152,90,7,PRUNED
38,0.007786758467166995,2025-10-12 10:23:17.959056,2025-10-12 10:23:22.592727,0 days 00:00:04.633671,16,0.454747008379719,128,3,0.0048122999468901955,45,28,COMPLETE
