number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.6052242815494537,2025-10-12 10:31:47.304283,2025-10-12 10:31:52.045433,0 days 00:00:04.741150,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.7391846591279579,2025-10-12 10:31:52.046251,2025-10-12 10:32:07.096470,0 days 00:00:15.050219,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.7048609961891442,2025-10-12 10:32:07.097754,2025-10-12 10:32:32.047287,0 days 00:00:24.949533,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.3092990169922511,2025-10-12 10:32:32.048734,2025-10-12 10:32:34.860237,0 days 00:00:02.811503,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.25954393794139224,2025-10-12 10:32:34.861144,2025-10-12 10:32:37.326421,0 days 00:00:02.465277,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,1.1150175333023071,2025-10-12 10:32:37.327242,2025-10-12 10:32:39.136696,0 days 00:00:01.809454,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,2.129206418991089,2025-10-12 10:32:39.138110,2025-10-12 10:32:41.311621,0 days 00:00:02.173511,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,0.9215254783630371,2025-10-12 10:32:41.312727,2025-10-12 10:32:43.240072,0 days 00:00:01.927345,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,PRUNED
8,0.7398055995765486,2025-10-12 10:32:43.240930,2025-10-12 10:32:45.095092,0 days 00:00:01.854162,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,PRUNED
9,0.9997270703315735,2025-10-12 10:32:45.096092,2025-10-12 10:32:46.883559,0 days 00:00:01.787467,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,0.25438496470451355,2025-10-12 10:32:46.884343,2025-10-12 10:32:48.586403,0 days 00:00:01.702060,48,0.09324522839369946,96,2,0.004030569392910079,45,21,PRUNED
11,0.7456349973325376,2025-10-12 10:32:48.587169,2025-10-12 10:32:50.542776,0 days 00:00:01.955607,16,0.21836809098644178,192,3,0.0013925775134839646,30,10,PRUNED
12,0.28512275218963623,2025-10-12 10:32:50.543565,2025-10-12 10:32:53.975869,0 days 00:00:03.432304,16,0.44471368115060533,128,3,0.0006808731843226133,30,28,COMPLETE
13,0.6997875571250916,2025-10-12 10:32:53.977432,2025-10-12 10:32:56.333489,0 days 00:00:02.356057,48,0.027807409174708225,96,3,0.0011286767684426178,75,10,PRUNED
14,0.40072619915008545,2025-10-12 10:32:56.334239,2025-10-12 10:32:58.063869,0 days 00:00:01.729630,64,0.07882901873659805,96,3,0.0011301276852715492,45,21,PRUNED
15,0.3125704973936081,2025-10-12 10:32:58.064737,2025-10-12 10:33:00.453054,0 days 00:00:02.388317,96,0.29158785020443734,96,3,0.0037855274005181828,45,28,COMPLETE
16,0.6142850047663638,2025-10-12 10:33:00.454111,2025-10-12 10:33:02.543763,0 days 00:00:02.089652,16,0.36674381588754446,128,3,0.00018768583724533485,75,14,PRUNED
17,0.26536139845848083,2025-10-12 10:33:02.544539,2025-10-12 10:33:04.324070,0 days 00:00:01.779531,48,0.03500164334941279,160,3,0.002308990193483961,60,21,PRUNED
18,0.9253097772598267,2025-10-12 10:33:04.324942,2025-10-12 10:33:06.314470,0 days 00:00:01.989528,48,0.13334223998400638,128,3,0.002786669114828087,45,7,PRUNED
19,0.6628939697616979,2025-10-12 10:33:06.315399,2025-10-12 10:33:08.723140,0 days 00:00:02.407741,16,0.4964691329960079,128,3,0.004689619993729535,30,14,PRUNED
20,0.4739711284637451,2025-10-12 10:33:08.725120,2025-10-12 10:33:10.443294,0 days 00:00:01.718174,48,0.1409943799209293,96,3,0.00424830303940631,30,14,PRUNED
21,0.25682104130585987,2025-10-12 10:33:10.444266,2025-10-12 10:33:13.538125,0 days 00:00:03.093859,16,0.4660890006224198,128,3,0.0006448659915449732,30,28,COMPLETE
22,0.8719031414420334,2025-10-12 10:33:13.539031,2025-10-12 10:33:26.704432,0 days 00:00:13.165401,16,0.48026536578006307,160,3,0.0010747924679633551,75,5,PRUNED
23,2.3373756408691406,2025-10-12 10:33:26.705267,2025-10-12 10:33:28.380181,0 days 00:00:01.674914,64,0.4548079416617697,128,3,0.00014924356361636614,60,28,PRUNED
24,0.7763481868637933,2025-10-12 10:33:28.380932,2025-10-12 10:33:30.350485,0 days 00:00:01.969553,16,0.4421344265785324,64,3,0.00031653829374287236,30,7,PRUNED
25,0.6114051342010498,2025-10-12 10:33:30.351188,2025-10-12 10:33:32.025104,0 days 00:00:01.673916,96,0.33390873906471535,160,3,0.0010441714346034973,30,14,PRUNED
26,1.1649785041809082,2025-10-12 10:33:32.025886,2025-10-12 10:33:34.227453,0 days 00:00:02.201567,48,0.4736601092217393,128,2,0.0002614556473888527,30,10,PRUNED
27,0.5397940442750329,2025-10-12 10:33:34.228190,2025-10-12 10:33:36.563195,0 days 00:00:02.335005,16,0.45251169815730363,96,3,0.0009735209705321135,60,14,PRUNED
28,0.5327103137969971,2025-10-12 10:33:36.564056,2025-10-12 10:33:38.187872,0 days 00:00:01.623816,48,0.2682853553020824,64,3,0.001725273047914138,45,21,PRUNED
29,0.3775324821472168,2025-10-12 10:33:38.188627,2025-10-12 10:33:39.927341,0 days 00:00:01.738714,16,0.42984524717441175,160,3,0.00022825917384877668,45,28,PRUNED
30,1.1591134071350098,2025-10-12 10:33:39.928115,2025-10-12 10:33:41.519122,0 days 00:00:01.591007,128,0.46853665759490476,128,3,0.0004916304589462866,30,21,PRUNED
31,0.3216458261013031,2025-10-12 10:33:41.519917,2025-10-12 10:33:43.109012,0 days 00:00:01.589095,64,0.4935355780811448,96,3,0.000749280107344381,30,28,PRUNED
32,0.8891956806182861,2025-10-12 10:33:43.109750,2025-10-12 10:33:44.784118,0 days 00:00:01.674368,16,0.46860845962015113,128,2,0.0004722877410464293,30,28,PRUNED
33,0.35183432698249817,2025-10-12 10:33:44.785237,2025-10-12 10:33:46.664026,0 days 00:00:01.878789,32,0.401043534978872,128,3,0.0011535667539469135,30,28,PRUNED
34,0.8052884080156019,2025-10-12 10:33:46.665105,2025-10-12 10:33:58.870320,0 days 00:00:12.205215,16,0.30632590826265826,96,3,0.0004488045949011685,30,5,PRUNED
35,0.3243573158979416,2025-10-12 10:33:58.871172,2025-10-12 10:34:02.461768,0 days 00:00:03.590596,16,0.36695022146099826,128,3,0.0009907595795311727,45,28,COMPLETE
36,0.3163781762123108,2025-10-12 10:34:02.462624,2025-10-12 10:34:04.237066,0 days 00:00:01.774442,48,0.36164872664355185,128,3,0.00043657328082049413,90,28,PRUNED
