number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.08693306893110275,2025-10-12 09:33:04.493389,2025-10-12 09:33:07.670739,0 days 00:00:03.177350,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.09933298470220957,2025-10-12 09:33:07.671621,2025-10-12 09:33:29.768093,0 days 00:00:22.096472,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.11176054957359731,2025-10-12 09:33:29.769461,2025-10-12 09:33:56.445232,0 days 00:00:26.675771,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.02370688070853551,2025-10-12 09:33:56.446374,2025-10-12 09:33:59.376176,0 days 00:00:02.929802,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.019165635108947754,2025-10-12 09:33:59.376995,2025-10-12 09:34:01.849831,0 days 00:00:02.472836,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,0.06984814256429672,2025-10-12 09:34:01.850696,2025-10-12 09:34:03.517998,0 days 00:00:01.667302,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,0.23640385270118713,2025-10-12 09:34:03.518797,2025-10-12 09:34:05.321778,0 days 00:00:01.802981,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,0.03092489888270696,2025-10-12 09:34:05.323343,2025-10-12 09:34:08.493619,0 days 00:00:03.170276,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,COMPLETE
8,0.03317064758422866,2025-10-12 09:34:08.494460,2025-10-12 09:34:11.658096,0 days 00:00:03.163636,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,COMPLETE
9,0.07910790294408798,2025-10-12 09:34:11.659047,2025-10-12 09:34:13.412071,0 days 00:00:01.753024,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,0.01481513554851214,2025-10-12 09:34:13.412844,2025-10-12 09:34:15.968668,0 days 00:00:02.555824,48,0.09324522839369946,96,2,0.004030569392910079,45,21,COMPLETE
11,0.02073293086141348,2025-10-12 09:34:15.969625,2025-10-12 09:34:20.232375,0 days 00:00:04.262750,48,0.1972296203564648,96,3,0.002941608568888448,60,21,COMPLETE
12,0.09693451225757599,2025-10-12 09:34:20.233383,2025-10-12 09:34:21.700402,0 days 00:00:01.467019,64,0.013878322814817587,96,2,0.0010209198021952602,45,21,PRUNED
13,0.02523192468409737,2025-10-12 09:34:21.701206,2025-10-12 09:34:24.371509,0 days 00:00:02.670303,48,0.03880433020947704,192,3,0.004499415396623819,45,21,COMPLETE
14,0.09927438199520111,2025-10-12 09:34:24.372579,2025-10-12 09:34:25.778421,0 days 00:00:01.405842,128,0.15090897060748837,96,2,0.0030713488888217547,45,7,PRUNED
15,0.19198542833328247,2025-10-12 09:34:25.779187,2025-10-12 09:34:27.147473,0 days 00:00:01.368286,48,0.02655402506230098,96,1,0.0014785557479257323,30,14,PRUNED
16,0.06442387402057648,2025-10-12 09:34:27.148395,2025-10-12 09:34:28.814093,0 days 00:00:01.665698,48,0.08691330302141642,96,3,0.001203626688967983,75,10,PRUNED
17,0.018528621643781662,2025-10-12 09:34:28.814834,2025-10-12 09:34:31.256756,0 days 00:00:02.441922,96,0.19738999246700417,128,2,0.004494741109268491,45,21,PRUNED
18,0.024035003036260605,2025-10-12 09:34:31.257770,2025-10-12 09:34:34.241932,0 days 00:00:02.984162,48,0.34411475597509966,192,2,0.004930280365852536,45,28,COMPLETE
19,0.07242633402347565,2025-10-12 09:34:34.242802,2025-10-12 09:34:36.282331,0 days 00:00:02.039529,48,0.14088908601555533,128,2,0.004042933542409214,90,10,PRUNED
20,0.12669479846954346,2025-10-12 09:34:36.283054,2025-10-12 09:34:37.694355,0 days 00:00:01.411301,48,0.047016461974283726,96,1,0.004417724567035457,45,10,PRUNED
21,0.027439061552286148,2025-10-12 09:34:37.695121,2025-10-12 09:34:39.433519,0 days 00:00:01.738398,48,0.3151468744635272,64,3,0.0023404912384153015,60,21,PRUNED
22,0.021593329031020403,2025-10-12 09:34:39.434290,2025-10-12 09:34:42.193720,0 days 00:00:02.759430,48,0.14631738519202828,96,3,0.00405158835690252,60,21,COMPLETE
23,0.02597906403289195,2025-10-12 09:34:42.194569,2025-10-12 09:34:46.382243,0 days 00:00:04.187674,16,0.08991492487964067,160,3,0.003299773021372349,90,21,COMPLETE
24,0.023443760039905708,2025-10-12 09:34:46.383053,2025-10-12 09:34:48.906403,0 days 00:00:02.523350,16,0.14529385989169433,96,3,0.004256404940162854,45,28,COMPLETE
25,0.01954494440981173,2025-10-12 09:34:48.907245,2025-10-12 09:34:51.557041,0 days 00:00:02.649796,16,0.0038126341857072227,96,2,0.0048099509043569265,75,21,COMPLETE
26,0.027838470691623277,2025-10-12 09:34:51.557824,2025-10-12 09:34:53.280423,0 days 00:00:01.722599,16,0.07766232563586052,192,1,0.004380768235050901,75,21,PRUNED
