number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,1.0088662505149841,2025-10-12 09:37:48.514024,2025-10-12 09:37:50.469313,0 days 00:00:01.955289,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.639299678218352,2025-10-12 09:37:50.470205,2025-10-12 09:38:02.920378,0 days 00:00:12.450173,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.6165254985575411,2025-10-12 09:38:02.921670,2025-10-12 09:38:31.979165,0 days 00:00:29.057495,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.8560936550299326,2025-10-12 09:38:31.980356,2025-10-12 09:38:33.881771,0 days 00:00:01.901415,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.8132608930269877,2025-10-12 09:38:33.882611,2025-10-12 09:38:35.518318,0 days 00:00:01.635707,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,1.004274606704712,2025-10-12 09:38:35.519134,2025-10-12 09:38:36.929774,0 days 00:00:01.410640,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,0.8596276044845581,2025-10-12 09:38:36.930521,2025-10-12 09:38:38.266344,0 days 00:00:01.335823,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,1.6185611486434937,2025-10-12 09:38:38.267224,2025-10-12 09:38:39.987282,0 days 00:00:01.720058,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,PRUNED
8,1.0176097907518085,2025-10-12 09:38:39.988201,2025-10-12 09:38:42.222579,0 days 00:00:02.234378,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,COMPLETE
9,1.664111852645874,2025-10-12 09:38:42.223380,2025-10-12 09:38:43.672195,0 days 00:00:01.448815,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,1.2272284030914307,2025-10-12 09:38:43.672930,2025-10-12 09:38:45.019355,0 days 00:00:01.346425,16,0.34985369348937084,96,1,0.000164396242069258,90,28,PRUNED
11,0.6066937314476678,2025-10-12 09:38:45.020070,2025-10-12 09:38:57.034746,0 days 00:00:12.014676,32,0.007121308865794327,128,2,0.00409505343344207,75,5,COMPLETE
12,0.6255704907654588,2025-10-12 09:38:57.035931,2025-10-12 09:39:04.569765,0 days 00:00:07.533834,96,0.16798755788099237,192,2,0.0027554762024014348,90,5,COMPLETE
13,0.7223105871376871,2025-10-12 09:39:04.571196,2025-10-12 09:39:09.138751,0 days 00:00:04.567555,64,0.4966585131514027,96,1,0.00016699649757930503,60,5,PRUNED
14,0.7068315043168909,2025-10-12 09:39:09.139569,2025-10-12 09:39:15.585983,0 days 00:00:06.446414,16,0.4223789326941707,64,1,0.00011998285255240404,45,5,PRUNED
15,0.6491978764090244,2025-10-12 09:39:15.586723,2025-10-12 09:39:25.091084,0 days 00:00:09.504361,32,0.33216749806301066,96,1,0.00403982155404438,75,5,COMPLETE
16,0.6980702055602515,2025-10-12 09:39:25.092337,2025-10-12 09:39:29.298941,0 days 00:00:04.206604,128,0.41423343687302416,96,2,0.00020487047015681917,90,5,PRUNED
17,0.5819753374472181,2025-10-12 09:39:29.299765,2025-10-12 09:39:42.907061,0 days 00:00:13.607296,32,0.00789949855772135,128,2,0.0004309591667419607,30,5,COMPLETE
18,0.6565851744483499,2025-10-12 09:39:42.908226,2025-10-12 09:39:49.484777,0 days 00:00:06.576551,32,0.06861961738972375,128,2,0.00014012234590632974,30,5,PRUNED
19,1.5656332969665527,2025-10-12 09:39:49.485506,2025-10-12 09:39:50.802034,0 days 00:00:01.316528,32,0.14948000912607287,128,2,0.0008555073819520582,30,10,PRUNED
