number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,1.1310333212216694,2025-10-12 09:52:20.598793,2025-10-12 09:52:22.886306,0 days 00:00:02.287513,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.43209726642172774,2025-10-12 09:52:22.887164,2025-10-12 09:52:34.624937,0 days 00:00:11.737773,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.42512791900016994,2025-10-12 09:52:34.626046,2025-10-12 09:52:58.397832,0 days 00:00:23.771786,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,1.1302223006884258,2025-10-12 09:52:58.399238,2025-10-12 09:53:00.807196,0 days 00:00:02.407958,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,1.1837136546770732,2025-10-12 09:53:00.808057,2025-10-12 09:53:02.656002,0 days 00:00:01.847945,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,1.434151291847229,2025-10-12 09:53:02.656842,2025-10-12 09:53:04.047713,0 days 00:00:01.390871,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,1.7220947742462158,2025-10-12 09:53:04.048458,2025-10-12 09:53:05.364577,0 days 00:00:01.316119,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,2.287844181060791,2025-10-12 09:53:05.365296,2025-10-12 09:53:06.687854,0 days 00:00:01.322558,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,PRUNED
8,1.454532409969129,2025-10-12 09:53:06.688617,2025-10-12 09:53:08.032239,0 days 00:00:01.343622,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,PRUNED
9,1.5931224822998047,2025-10-12 09:53:08.032948,2025-10-12 09:53:09.512730,0 days 00:00:01.479782,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,1.482898235321045,2025-10-12 09:53:09.513584,2025-10-12 09:53:11.865196,0 days 00:00:02.351612,16,0.34985369348937084,96,1,0.000164396242069258,90,28,PRUNED
11,0.4349405140677085,2025-10-12 09:53:11.867035,2025-10-12 09:53:23.186530,0 days 00:00:11.319495,32,0.007121308865794327,128,2,0.00409505343344207,75,5,COMPLETE
12,0.43187479429052006,2025-10-12 09:53:23.188057,2025-10-12 09:53:33.210158,0 days 00:00:10.022101,96,0.4448678460931828,192,1,0.00025639657664216847,90,5,COMPLETE
13,0.35240289794296775,2025-10-12 09:53:33.211339,2025-10-12 09:53:40.523802,0 days 00:00:07.312463,16,0.4886394607335599,192,1,0.00024700472235646305,60,5,PRUNED
14,0.43356784510910673,2025-10-12 09:53:40.524545,2025-10-12 09:53:52.773829,0 days 00:00:12.249284,96,0.2573942707851632,192,1,0.00010596114638227734,30,5,COMPLETE
15,0.44550892515349577,2025-10-12 09:53:52.774784,2025-10-12 09:54:00.951355,0 days 00:00:08.176571,48,0.49796319003490525,96,1,0.0007904131163506941,90,5,COMPLETE
16,0.42737683078483285,2025-10-12 09:54:00.952228,2025-10-12 09:54:13.683388,0 days 00:00:12.731160,96,0.4051296937100956,160,2,0.0003540869928109084,90,5,COMPLETE
17,0.42992208435587154,2025-10-12 09:54:13.684471,2025-10-12 09:54:31.956358,0 days 00:00:18.271887,32,0.34531437992550224,160,2,0.0001038200286172055,90,5,COMPLETE
18,0.7959262728691101,2025-10-12 09:54:31.957473,2025-10-12 09:54:33.329524,0 days 00:00:01.372051,96,0.4756042347709319,160,3,0.00017448162436296938,60,28,PRUNED
19,0.4322771191431385,2025-10-12 09:54:33.330275,2025-10-12 09:54:47.261855,0 days 00:00:13.931580,128,0.30670553830780023,96,2,0.00017241081990692305,60,5,COMPLETE
20,1.572611689567566,2025-10-12 09:54:47.262962,2025-10-12 09:54:48.512161,0 days 00:00:01.249199,96,0.40682295017965814,160,2,0.001057023432388369,30,10,PRUNED
21,1.587037205696106,2025-10-12 09:54:48.512846,2025-10-12 09:54:49.963041,0 days 00:00:01.450195,32,0.3777576360794393,160,2,0.00016618279620031107,90,14,PRUNED
22,0.42917169758454904,2025-10-12 09:54:49.963728,2025-10-12 09:55:00.986386,0 days 00:00:11.022658,96,0.358207716521318,160,3,0.00034790052591181914,90,5,COMPLETE
23,0.4337482294227506,2025-10-12 09:55:00.987513,2025-10-12 09:55:12.559860,0 days 00:00:11.572347,96,0.3961244283491671,128,3,0.0003128784307177947,90,5,COMPLETE
24,0.4262410651346467,2025-10-12 09:55:12.560928,2025-10-12 09:55:23.037956,0 days 00:00:10.477028,96,0.17269694039372607,160,2,0.0004336044007769449,90,5,COMPLETE
25,1.214123249053955,2025-10-12 09:55:23.039311,2025-10-12 09:55:24.560106,0 days 00:00:01.520795,96,0.1567290912374351,96,2,0.0003287014769472548,90,21,PRUNED
26,1.6588369607925415,2025-10-12 09:55:24.560845,2025-10-12 09:55:25.926120,0 days 00:00:01.365275,96,0.1633030000940386,160,2,0.0006547617465775825,75,7,PRUNED
