number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.06851007809651967,2025-10-14 01:02:37.147156,2025-10-14 01:03:14.120060,0 days 00:00:36.972904,64,0.09170225492671691,128,1,0.0003287747413991121,75,7,COMPLETE
1,0.0615297489238677,2025-10-14 01:03:14.120975,2025-10-14 01:03:56.244958,0 days 00:00:42.123983,64,0.34211651325607845,128,1,0.0005595074635794797,75,10,COMPLETE
2,0.06282913970480923,2025-10-14 01:03:56.245876,2025-10-14 01:04:23.597585,0 days 00:00:27.351709,96,0.13567451588694796,64,2,0.0025585868855934266,30,10,COMPLETE
3,0.07061317158227273,2025-10-14 01:04:23.598436,2025-10-14 01:04:58.744166,0 days 00:00:35.145730,48,0.1554911608578311,128,1,0.00035684261232554244,30,5,COMPLETE
4,0.05657586845682438,2025-10-14 01:04:58.745140,2025-10-14 01:05:32.374566,0 days 00:00:33.629426,64,0.37777556927152434,160,2,0.0002447491657907381,30,10,COMPLETE
5,0.06061069557728662,2025-10-14 01:05:32.375601,2025-10-14 01:06:11.399132,0 days 00:00:39.023531,48,0.2087055015743895,160,2,0.0002384264912981741,60,14,COMPLETE
6,0.09189349736382321,2025-10-14 01:06:11.400096,2025-10-14 01:06:43.819496,0 days 00:00:32.419400,48,0.2447263801387815,160,1,0.004727053921131424,90,7,PRUNED
7,0.06300118380640665,2025-10-14 01:06:43.820337,2025-10-14 01:07:22.586077,0 days 00:00:38.765740,16,0.345468869051233,64,1,0.00045399571411797694,30,7,COMPLETE
8,0.062180217763826776,2025-10-14 01:07:22.587103,2025-10-14 01:07:59.244164,0 days 00:00:36.657061,48,0.38993777292881193,192,3,0.0012325158377757166,90,10,PRUNED
9,0.09529125508224706,2025-10-14 01:07:59.244939,2025-10-14 01:08:24.361747,0 days 00:00:25.116808,48,0.04683738391404624,160,2,0.00042144229620572874,75,5,PRUNED
10,0.07723654687854668,2025-10-14 01:08:24.362680,2025-10-14 01:08:45.867661,0 days 00:00:21.504981,64,0.4298422201334673,160,2,0.0001129314674044087,30,10,PRUNED
11,0.06285720446680794,2025-10-14 01:08:45.868415,2025-10-14 01:09:22.086500,0 days 00:00:36.218085,48,0.015465947033079658,160,1,0.0001360475700663264,60,14,COMPLETE
12,0.06316389701533431,2025-10-14 01:09:22.087548,2025-10-14 01:09:51.175219,0 days 00:00:29.087671,48,0.4301220774007126,160,1,0.0003089467812506524,60,14,COMPLETE
13,0.0928126526700313,2025-10-14 01:09:51.176145,2025-10-14 01:10:10.859137,0 days 00:00:19.682992,64,0.27860917191251744,160,2,0.00039512979335199356,30,14,PRUNED
14,0.06301120071586182,2025-10-14 01:10:10.860123,2025-10-14 01:10:55.447820,0 days 00:00:44.587697,48,0.184071195494394,64,3,0.00033598446355622596,60,14,COMPLETE
15,0.08887402091996144,2025-10-14 01:10:55.448804,2025-10-14 01:11:24.673324,0 days 00:00:29.224520,64,0.169707710307049,160,3,0.0004237775708744981,60,10,PRUNED
16,0.07127383721983013,2025-10-14 01:11:24.674360,2025-10-14 01:11:49.634781,0 days 00:00:24.960421,48,0.30258228418692723,96,2,0.0001756071135088235,75,7,PRUNED
17,0.054828905859027464,2025-10-14 01:11:49.635652,2025-10-14 01:13:19.442040,0 days 00:01:29.806388,32,0.18699312251636357,160,2,0.00010223616563327832,90,14,COMPLETE
18,0.08530819700115101,2025-10-14 01:13:19.443144,2025-10-14 01:14:00.748715,0 days 00:00:41.305571,32,0.18125068962377858,160,3,0.00013129419217638823,90,7,PRUNED
19,0.06694801948323821,2025-10-14 01:14:00.750825,2025-10-14 01:14:37.614272,0 days 00:00:36.863447,32,0.31743646917391477,192,2,0.00010065479578555228,90,10,PRUNED
