number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.982267955938975,2025-10-12 10:07:08.311472,2025-10-12 10:07:10.727383,0 days 00:00:02.415911,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.3685005140658157,2025-10-12 10:07:10.728213,2025-10-12 10:07:25.304556,0 days 00:00:14.576343,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.381387943702624,2025-10-12 10:07:25.305724,2025-10-12 10:08:05.452345,0 days 00:00:40.146621,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.9152294198671976,2025-10-12 10:08:05.453537,2025-10-12 10:08:07.500379,0 days 00:00:02.046842,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.7717872659365336,2025-10-12 10:08:07.501141,2025-10-12 10:08:09.674888,0 days 00:00:02.173747,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,0.8693169355392456,2025-10-12 10:08:09.676158,2025-10-12 10:08:11.512888,0 days 00:00:01.836730,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,2.0980560779571533,2025-10-12 10:08:11.513550,2025-10-12 10:08:12.911444,0 days 00:00:01.397894,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,1.2362825870513916,2025-10-12 10:08:12.912246,2025-10-12 10:08:14.222143,0 days 00:00:01.309897,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,PRUNED
8,1.3352249798021818,2025-10-12 10:08:14.222995,2025-10-12 10:08:15.603084,0 days 00:00:01.380089,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,PRUNED
9,0.9739788770675659,2025-10-12 10:08:15.603835,2025-10-12 10:08:17.046788,0 days 00:00:01.442953,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,0.3486054432634093,2025-10-12 10:08:17.047603,2025-10-12 10:08:35.216518,0 days 00:00:18.168915,32,0.07391178778498542,128,3,0.003908144407649425,75,5,COMPLETE
11,0.37322470368148686,2025-10-12 10:08:35.219244,2025-10-12 10:08:49.253879,0 days 00:00:14.034635,32,0.007121308865794327,128,2,0.00409505343344207,75,5,COMPLETE
12,0.3710150591104568,2025-10-12 10:08:49.256565,2025-10-12 10:09:00.841256,0 days 00:00:11.584691,96,0.21053282794283118,192,3,0.002707065368154201,90,5,COMPLETE
13,1.4221872091293335,2025-10-12 10:09:00.842643,2025-10-12 10:09:02.691727,0 days 00:00:01.849084,96,0.17354079782641893,128,3,0.003589139023460485,75,14,PRUNED
14,0.36482003420368453,2025-10-12 10:09:02.693317,2025-10-12 10:09:22.629220,0 days 00:00:19.935903,32,0.025412195801787392,128,3,0.00041762352526161155,30,5,COMPLETE
15,0.36840855565430436,2025-10-12 10:09:22.630324,2025-10-12 10:09:35.529341,0 days 00:00:12.899017,32,0.016428269429421834,128,2,0.00025825330898839255,30,5,PRUNED
16,0.3571973854558288,2025-10-12 10:09:35.530198,2025-10-12 10:09:50.477984,0 days 00:00:14.947786,64,0.10749987844718767,128,3,0.0005142405679018304,60,5,PRUNED
17,0.9238253831863403,2025-10-12 10:09:50.478693,2025-10-12 10:09:51.827161,0 days 00:00:01.348468,32,0.0010683360750353733,64,3,0.0005852413638173359,30,10,PRUNED
18,1.5480395555496216,2025-10-12 10:09:51.827841,2025-10-12 10:09:53.602246,0 days 00:00:01.774405,32,0.24372608165661008,128,3,0.004018973772690048,60,10,PRUNED
19,0.3977063604139262,2025-10-12 10:09:53.603128,2025-10-12 10:10:14.345631,0 days 00:00:20.742503,32,0.24964430635331888,128,3,0.00033573037618852506,75,5,PRUNED
20,0.36091401697674447,2025-10-12 10:10:14.346463,2025-10-12 10:10:35.501188,0 days 00:00:21.154725,32,0.14484701569058225,192,3,0.00096239023144783,30,5,COMPLETE
21,0.7330487370491028,2025-10-12 10:10:35.502335,2025-10-12 10:10:36.804698,0 days 00:00:01.302363,32,0.07593401373672597,192,3,0.0006005099529713356,45,28,PRUNED
22,0.3650822482974214,2025-10-12 10:10:36.805464,2025-10-12 10:10:50.130194,0 days 00:00:13.324730,48,0.1638601890620622,192,2,0.0007421817655077394,30,5,COMPLETE
23,0.37277691801125146,2025-10-12 10:10:50.131387,2025-10-12 10:11:08.501828,0 days 00:00:18.370441,32,0.1386984540136489,160,3,0.0012585271287487206,30,5,COMPLETE
24,2.0107452869415283,2025-10-12 10:11:08.503000,2025-10-12 10:11:09.805536,0 days 00:00:01.302536,96,0.15382098527224616,192,3,0.0008383421501635208,30,7,PRUNED
25,0.7452601790428162,2025-10-12 10:11:09.806293,2025-10-12 10:11:11.175930,0 days 00:00:01.369637,128,0.05055891383475655,128,3,0.0005333871153525567,30,21,PRUNED
26,1.550046443939209,2025-10-12 10:11:11.176940,2025-10-12 10:11:12.920537,0 days 00:00:01.743597,48,0.25150335484031106,192,3,0.0011597620203906667,60,28,PRUNED
27,0.36511991697337093,2025-10-12 10:11:12.922090,2025-10-12 10:11:40.543788,0 days 00:00:27.621698,16,0.2153534760647611,128,3,0.004571351081205422,45,5,COMPLETE
28,1.2429717779159546,2025-10-12 10:11:40.545021,2025-10-12 10:11:41.955617,0 days 00:00:01.410596,128,0.15234738752045093,192,3,0.0022068688638802966,75,10,PRUNED
29,0.3815540266860429,2025-10-12 10:11:41.956340,2025-10-12 10:11:52.469629,0 days 00:00:10.513289,128,0.002715223202744532,64,3,0.002235217616316642,60,5,COMPLETE
30,0.36192237681191936,2025-10-12 10:11:52.471187,2025-10-12 10:12:13.881037,0 days 00:00:21.409850,32,0.08206114347058269,128,3,0.0009501887743976174,90,5,COMPLETE
31,1.7077068090438843,2025-10-12 10:12:13.882192,2025-10-12 10:12:15.402590,0 days 00:00:01.520398,32,0.18448498409422506,64,3,0.0009098618902308611,90,7,PRUNED
32,0.5668888092041016,2025-10-12 10:12:15.403320,2025-10-12 10:12:17.117273,0 days 00:00:01.713953,32,0.12154300340913768,128,3,0.0012513555482178331,90,28,PRUNED
33,0.38219426253662575,2025-10-12 10:12:17.118061,2025-10-12 10:12:32.804410,0 days 00:00:15.686349,32,0.08633492643382756,192,3,0.0010876927326454384,60,5,PRUNED
34,0.38169298490735554,2025-10-12 10:12:32.805203,2025-10-12 10:12:53.592816,0 days 00:00:20.787613,32,0.014083080467966136,96,3,0.0006560787441739865,90,5,COMPLETE
35,0.36902287610147794,2025-10-12 10:12:53.593913,2025-10-12 10:13:13.994493,0 days 00:00:20.400580,32,0.046897975968594914,128,3,0.0006457650842415061,45,5,COMPLETE
36,0.36651315107539784,2025-10-12 10:13:13.995595,2025-10-12 10:13:30.929344,0 days 00:00:16.933749,32,0.2739087608084459,192,3,0.0015758792449996545,30,5,COMPLETE
37,0.4105146454453711,2025-10-12 10:13:30.930532,2025-10-12 10:13:40.701174,0 days 00:00:09.770642,128,0.09738989788322372,128,3,0.0009996021182574087,90,5,PRUNED
38,0.43598428593964134,2025-10-12 10:13:40.701892,2025-10-12 10:13:46.204333,0 days 00:00:05.502441,32,0.21274405595604257,96,3,0.0002488317122034406,30,5,PRUNED
39,0.8817638158798218,2025-10-12 10:13:46.205035,2025-10-12 10:13:47.862177,0 days 00:00:01.657142,32,0.034195356616690334,96,3,0.0026753212614587024,75,21,PRUNED
40,0.35439633545354426,2025-10-12 10:13:47.864036,2025-10-12 10:14:05.893820,0 days 00:00:18.029784,48,0.20634600381410612,64,3,0.003700933441188939,75,5,COMPLETE
41,0.3619010542034052,2025-10-12 10:14:05.895027,2025-10-12 10:14:19.572414,0 days 00:00:13.677387,48,0.17170428030560728,64,3,0.002664012069853308,75,5,COMPLETE
42,0.42494830414026724,2025-10-12 10:14:19.573528,2025-10-12 10:14:24.711322,0 days 00:00:05.137794,48,0.11956837014853558,64,3,0.0009682754557673753,75,5,PRUNED
43,0.3744535484180523,2025-10-12 10:14:24.712038,2025-10-12 10:14:36.276120,0 days 00:00:11.564082,96,0.23603703848700902,64,3,0.003157870273911392,75,5,COMPLETE
44,0.4112077089531116,2025-10-12 10:14:36.277189,2025-10-12 10:14:50.061790,0 days 00:00:13.784601,48,0.170132486313207,128,3,0.004211532536202937,75,5,PRUNED
45,0.3634516274730055,2025-10-12 10:14:50.062550,2025-10-12 10:15:01.673958,0 days 00:00:11.611408,64,0.041301408326986616,192,3,0.0019128577446962532,30,5,COMPLETE
46,1.0624217987060547,2025-10-12 10:15:01.674958,2025-10-12 10:15:03.120234,0 days 00:00:01.445276,48,0.11963103212009639,64,3,0.0045520873420744,75,10,PRUNED
47,0.381202043438152,2025-10-12 10:15:03.120943,2025-10-12 10:15:13.639210,0 days 00:00:10.518267,64,0.2096542019929245,160,3,0.002443293233025811,75,5,PRUNED
48,0.7728877663612366,2025-10-12 10:15:13.639944,2025-10-12 10:15:15.022628,0 days 00:00:01.382684,48,0.14667289392017238,64,3,0.002943371935370062,90,21,PRUNED
49,0.40256619356314666,2025-10-12 10:15:15.023350,2025-10-12 10:15:25.213341,0 days 00:00:10.189991,48,0.31790414833965364,64,2,0.0037226258046658936,75,5,PRUNED
50,1.6757868528366089,2025-10-12 10:15:25.214123,2025-10-12 10:15:26.559246,0 days 00:00:01.345123,128,0.30738668227239996,64,3,0.004728923876429308,75,7,PRUNED
51,1.5169832706451416,2025-10-12 10:15:26.559998,2025-10-12 10:15:27.832863,0 days 00:00:01.272865,64,0.09876540926358869,192,3,0.002205986136471943,30,14,PRUNED
52,0.35935805548646327,2025-10-12 10:15:27.833668,2025-10-12 10:16:02.532171,0 days 00:00:34.698503,16,0.0827906416330773,192,3,0.003119633981115475,75,5,COMPLETE
