number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.15190890928109488,2025-10-12 10:15:05.906172,2025-10-12 10:15:10.923431,0 days 00:00:05.017259,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.15775285027651678,2025-10-12 10:15:10.924307,2025-10-12 10:15:26.334388,0 days 00:00:15.410081,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.16602477266729287,2025-10-12 10:15:26.335583,2025-10-12 10:16:05.121032,0 days 00:00:38.785449,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.0333685123672088,2025-10-12 10:16:05.122223,2025-10-12 10:16:08.691961,0 days 00:00:03.569738,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.031077863027652104,2025-10-12 10:16:08.692795,2025-10-12 10:16:11.866497,0 days 00:00:03.173702,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,0.6366748213768005,2025-10-12 10:16:11.867673,2025-10-12 10:16:14.223717,0 days 00:00:02.356044,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,1.0960599184036255,2025-10-12 10:16:14.225674,2025-10-12 10:16:16.203947,0 days 00:00:01.978273,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,0.15689261257648468,2025-10-12 10:16:16.204790,2025-10-12 10:16:17.993689,0 days 00:00:01.788899,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,PRUNED
8,0.2322716748243884,2025-10-12 10:16:17.994531,2025-10-12 10:16:19.804912,0 days 00:00:01.810381,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,PRUNED
9,0.329654335975647,2025-10-12 10:16:19.805814,2025-10-12 10:16:21.689663,0 days 00:00:01.883849,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,0.07582823187112808,2025-10-12 10:16:21.690473,2025-10-12 10:16:23.480505,0 days 00:00:01.790032,48,0.09324522839369946,96,2,0.004030569392910079,45,21,PRUNED
11,0.16265052722560036,2025-10-12 10:16:23.481403,2025-10-12 10:16:27.066027,0 days 00:00:03.584624,16,0.21836809098644178,192,3,0.0013925775134839646,30,10,PRUNED
