number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.3612466553846995,2025-10-12 10:26:06.579634,2025-10-12 10:26:09.556972,0 days 00:00:02.977338,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.4288810805249695,2025-10-12 10:26:09.557933,2025-10-12 10:26:22.811505,0 days 00:00:13.253572,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.4368444910678835,2025-10-12 10:26:22.812778,2025-10-12 10:26:41.428577,0 days 00:00:18.615799,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.33526070912679035,2025-10-12 10:26:41.430054,2025-10-12 10:26:44.041001,0 days 00:00:02.610947,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.3415615459283193,2025-10-12 10:26:44.041899,2025-10-12 10:26:46.284406,0 days 00:00:02.242507,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,0.397073894739151,2025-10-12 10:26:46.285270,2025-10-12 10:26:48.233095,0 days 00:00:01.947825,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,0.6651774644851685,2025-10-12 10:26:48.233997,2025-10-12 10:26:49.922009,0 days 00:00:01.688012,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,0.300123393535614,2025-10-12 10:26:49.922869,2025-10-12 10:26:52.249199,0 days 00:00:02.326330,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,COMPLETE
8,0.3408245846890567,2025-10-12 10:26:52.250080,2025-10-12 10:26:55.939232,0 days 00:00:03.689152,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,COMPLETE
9,0.3323452870051066,2025-10-12 10:26:55.941086,2025-10-12 10:26:59.246182,0 days 00:00:03.305096,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,COMPLETE
10,0.30578019221623737,2025-10-12 10:26:59.247053,2025-10-12 10:27:01.698721,0 days 00:00:02.451668,128,0.3428488779537034,64,3,0.003768431803452871,45,14,COMPLETE
11,0.3073175648848216,2025-10-12 10:27:01.699596,2025-10-12 10:27:04.151046,0 days 00:00:02.451450,64,0.44494999562305526,64,3,0.0016734272038674074,60,14,COMPLETE
12,0.3079872926076253,2025-10-12 10:27:04.151956,2025-10-12 10:27:06.947094,0 days 00:00:02.795138,128,0.1287952771924862,64,3,0.0009772455167564023,45,14,COMPLETE
13,0.32241297761599225,2025-10-12 10:27:06.949461,2025-10-12 10:27:09.807957,0 days 00:00:02.858496,128,0.35374206562635524,64,3,0.0036237358944747025,45,10,COMPLETE
14,0.30993113418420154,2025-10-12 10:27:09.808805,2025-10-12 10:27:12.146036,0 days 00:00:02.337231,64,0.3414207559840784,96,3,0.0005157130727793208,45,14,COMPLETE
15,0.32298027475674945,2025-10-12 10:27:12.147106,2025-10-12 10:27:14.318076,0 days 00:00:02.170970,48,0.4946983447984433,64,2,0.003981800226160295,45,14,COMPLETE
16,0.30479014416535694,2025-10-12 10:27:14.318940,2025-10-12 10:27:16.787822,0 days 00:00:02.468882,128,0.3458701196397771,192,3,0.001414737186059761,75,14,COMPLETE
17,0.3345363736152649,2025-10-12 10:27:16.788741,2025-10-12 10:27:19.171293,0 days 00:00:02.382552,128,0.4872265374832179,128,2,0.0005762834079402738,75,14,COMPLETE
18,0.29953544835249585,2025-10-12 10:27:19.172244,2025-10-12 10:27:23.120493,0 days 00:00:03.948249,32,0.46492403566510576,192,3,0.004873747769694849,75,14,COMPLETE
19,0.29250743985176086,2025-10-12 10:27:23.121293,2025-10-12 10:27:26.218004,0 days 00:00:03.096711,32,0.49696038389111974,192,3,0.004977113023777997,60,14,COMPLETE
20,0.5636842459747472,2025-10-12 10:27:26.218885,2025-10-12 10:27:36.483237,0 days 00:00:10.264352,32,0.45241818088345,192,3,0.0038643760111192367,60,5,PRUNED
21,0.3136192560195923,2025-10-12 10:27:36.484141,2025-10-12 10:27:39.336822,0 days 00:00:02.852681,32,0.4562590826070044,160,3,0.0028449665871345367,75,14,COMPLETE
22,0.3127833902835846,2025-10-12 10:27:39.337691,2025-10-12 10:27:42.180414,0 days 00:00:02.842723,32,0.44702978553983236,192,3,0.0015005545109010908,90,14,COMPLETE
23,0.34148449699083966,2025-10-12 10:27:42.181243,2025-10-12 10:27:44.896519,0 days 00:00:02.715276,64,0.49344896165632773,64,3,0.0008374718714511709,45,10,COMPLETE
24,0.31379571557044983,2025-10-12 10:27:44.897440,2025-10-12 10:27:47.854057,0 days 00:00:02.956617,96,0.43123125997438205,192,3,0.002715312155040922,60,14,COMPLETE
25,0.48979029059410095,2025-10-12 10:27:47.856464,2025-10-12 10:27:50.052764,0 days 00:00:02.196300,32,0.44692757031514235,192,2,0.0025509376585156653,75,21,PRUNED
26,0.28374481201171875,2025-10-12 10:27:50.053535,2025-10-12 10:27:52.375494,0 days 00:00:02.321959,32,0.4396818620158519,192,2,0.004398977818311009,60,14,PRUNED
27,0.443037931735699,2025-10-12 10:27:52.376284,2025-10-12 10:27:58.432491,0 days 00:00:06.056207,64,0.4766468332550903,192,3,0.004715032507128256,75,5,PRUNED
28,0.3067900471781429,2025-10-12 10:27:58.433269,2025-10-12 10:28:02.681125,0 days 00:00:04.247856,16,0.4451333929622728,192,3,0.002667861341758265,45,14,COMPLETE
29,0.31512829661369324,2025-10-12 10:28:02.682051,2025-10-12 10:28:05.477688,0 days 00:00:02.795637,48,0.4144314029429844,128,3,0.004270502773682359,60,7,COMPLETE
30,0.3211614787578583,2025-10-12 10:28:05.479049,2025-10-12 10:28:08.643409,0 days 00:00:03.164360,32,0.4448966434675267,96,3,0.004467681991723814,90,7,COMPLETE
31,0.3190629879633586,2025-10-12 10:28:08.644666,2025-10-12 10:28:11.318864,0 days 00:00:02.674198,32,0.43052168390478973,192,3,0.003501953786523972,75,14,COMPLETE
32,0.4654302902238066,2025-10-12 10:28:11.319797,2025-10-12 10:28:17.535494,0 days 00:00:06.215697,128,0.32296801987478285,96,3,0.0006273201611362708,75,5,PRUNED
33,0.3454829255739848,2025-10-12 10:28:17.536308,2025-10-12 10:28:19.746298,0 days 00:00:02.209990,128,0.25867628260703335,192,3,0.0016846327037854866,75,28,COMPLETE
34,0.3068902939558029,2025-10-12 10:28:19.747248,2025-10-12 10:28:21.839527,0 days 00:00:02.092279,128,0.2397695534954758,192,3,0.0009495439294763371,30,14,COMPLETE
35,0.3011992573738098,2025-10-12 10:28:21.840445,2025-10-12 10:28:24.239115,0 days 00:00:02.398670,32,0.45613566789582904,64,3,0.0010340238713569027,45,14,COMPLETE
36,0.3410717745621999,2025-10-12 10:28:24.240036,2025-10-12 10:28:27.370198,0 days 00:00:03.130162,32,0.4359449891187818,64,2,0.000337837253226849,45,14,COMPLETE
37,0.45239798161497086,2025-10-12 10:28:27.372457,2025-10-12 10:28:34.929538,0 days 00:00:07.557081,32,0.43941111402476013,64,3,0.0010214925552287154,30,5,PRUNED
38,0.3562447428703308,2025-10-12 10:28:34.930387,2025-10-12 10:28:37.098525,0 days 00:00:02.168138,32,0.46619215733867075,128,3,0.004989895194278638,60,28,COMPLETE
39,0.3033309082190196,2025-10-12 10:28:37.099451,2025-10-12 10:28:39.736522,0 days 00:00:02.637071,32,0.48454449198371763,160,3,0.0009084342457325831,45,14,COMPLETE
40,0.5097890496253967,2025-10-12 10:28:39.737655,2025-10-12 10:28:42.073155,0 days 00:00:02.335500,32,0.387784154593572,64,3,0.0008875590759360284,45,21,PRUNED
41,0.3274787863095601,2025-10-12 10:28:42.075631,2025-10-12 10:28:44.820482,0 days 00:00:02.744851,32,0.40978522646057697,160,3,0.0008545462481602796,45,7,COMPLETE
42,0.35737185676892597,2025-10-12 10:28:44.821420,2025-10-12 10:28:47.132957,0 days 00:00:02.311537,16,0.4804469367078499,160,3,0.0012162042334372867,45,28,COMPLETE
43,0.3085252344608307,2025-10-12 10:28:47.133854,2025-10-12 10:28:49.410628,0 days 00:00:02.276774,96,0.4709726613550159,160,3,0.0013554391209507802,45,14,COMPLETE
44,0.3092888494332631,2025-10-12 10:28:49.411546,2025-10-12 10:28:51.872505,0 days 00:00:02.460959,32,0.3924414553377487,128,3,0.0020750795206427915,45,14,COMPLETE
45,0.2998640288909276,2025-10-12 10:28:51.873344,2025-10-12 10:28:54.814092,0 days 00:00:02.940748,64,0.35648700705501674,64,3,0.0009633209394932646,45,14,COMPLETE
46,0.5067985811654259,2025-10-12 10:28:54.815101,2025-10-12 10:28:57.103988,0 days 00:00:02.288887,16,0.4615934377959883,160,3,0.003566385381887268,60,21,PRUNED
47,0.30682606995105743,2025-10-12 10:28:57.104880,2025-10-12 10:28:59.692360,0 days 00:00:02.587480,48,0.39372721421714185,64,3,0.0004972214119716405,45,14,COMPLETE
48,0.3073640118042628,2025-10-12 10:28:59.693277,2025-10-12 10:29:02.032623,0 days 00:00:02.339346,64,0.2661125527327578,64,3,0.0010603184361420545,45,14,COMPLETE
49,0.33485232790311176,2025-10-12 10:29:02.033502,2025-10-12 10:29:04.149947,0 days 00:00:02.116445,64,0.44928622569299126,64,2,0.001300029567617432,45,14,COMPLETE
50,0.3195349469519498,2025-10-12 10:29:04.150900,2025-10-12 10:29:07.207323,0 days 00:00:03.056423,16,0.4895206926328517,96,2,0.00207188803192158,60,14,COMPLETE
51,0.2975362241268158,2025-10-12 10:29:07.209631,2025-10-12 10:29:09.821541,0 days 00:00:02.611910,128,0.4516916606780986,64,3,0.0005006174339571677,30,14,PRUNED
52,0.30841031670570374,2025-10-12 10:29:09.822324,2025-10-12 10:29:12.342357,0 days 00:00:02.520033,64,0.4602639898317752,160,3,0.0006799948461125202,45,14,COMPLETE
53,0.3056464691956838,2025-10-12 10:29:12.343271,2025-10-12 10:29:15.047269,0 days 00:00:02.703998,64,0.49274247255026166,64,3,0.0007855114050988761,90,14,COMPLETE
54,0.31249486406644184,2025-10-12 10:29:15.048192,2025-10-12 10:29:17.787867,0 days 00:00:02.739675,96,0.42034639876594054,128,3,0.00021602758655020067,45,14,COMPLETE
55,0.3271434009075165,2025-10-12 10:29:17.788876,2025-10-12 10:29:21.355510,0 days 00:00:03.566634,48,0.4311147603954366,192,3,0.002115343070323568,75,7,COMPLETE
56,0.32092131674289703,2025-10-12 10:29:21.357248,2025-10-12 10:29:24.061991,0 days 00:00:02.704743,32,0.4676670981607796,96,3,0.00034770003961627575,45,28,COMPLETE
57,0.30621904134750366,2025-10-12 10:29:24.062891,2025-10-12 10:29:27.047756,0 days 00:00:02.984865,32,0.3553975699337276,64,3,0.0012112854669911674,45,14,COMPLETE
58,0.31803162892659503,2025-10-12 10:29:27.048590,2025-10-12 10:29:29.919592,0 days 00:00:02.871002,32,0.4607255888821301,160,2,0.0008832999485782483,60,10,COMPLETE
59,0.30453114211559296,2025-10-12 10:29:29.920450,2025-10-12 10:29:32.956012,0 days 00:00:03.035562,32,0.4918095720303772,160,3,0.0005440940555547794,60,14,COMPLETE
60,0.3014477441708247,2025-10-12 10:29:32.957360,2025-10-12 10:29:36.339994,0 days 00:00:03.382634,64,0.48372307712015056,192,3,0.0023324444806081626,60,10,COMPLETE
61,0.30506212015946704,2025-10-12 10:29:36.340901,2025-10-12 10:29:39.342249,0 days 00:00:03.001348,64,0.4005092832010203,192,3,0.0030450963506306224,60,10,COMPLETE
62,0.30924480107792635,2025-10-12 10:29:39.343271,2025-10-12 10:29:42.356267,0 days 00:00:03.012996,16,0.46482537588932393,64,3,0.002658821802729145,75,14,COMPLETE
63,0.3145453830560048,2025-10-12 10:29:42.357353,2025-10-12 10:29:44.619545,0 days 00:00:02.262192,64,0.4846414014023331,64,3,0.0039965972039652485,90,28,COMPLETE
64,0.30387118458747864,2025-10-12 10:29:44.620363,2025-10-12 10:29:47.232950,0 days 00:00:02.612587,64,0.4209869642420706,192,3,0.004035168456445955,30,14,COMPLETE
65,0.45075338580536606,2025-10-12 10:29:47.234605,2025-10-12 10:29:53.168071,0 days 00:00:05.933466,96,0.39897404600781716,64,3,0.0005853102053459786,45,5,PRUNED
66,0.3204122583071391,2025-10-12 10:29:53.168961,2025-10-12 10:29:55.511534,0 days 00:00:02.342573,64,0.4389122523231683,96,3,0.0012906078630054618,60,28,COMPLETE
67,0.31552215417226154,2025-10-12 10:29:55.512473,2025-10-12 10:29:58.083471,0 days 00:00:02.570998,32,0.49958325713533586,192,3,0.003034735419340122,60,14,COMPLETE
68,0.3019777536392212,2025-10-12 10:29:58.084500,2025-10-12 10:30:01.052937,0 days 00:00:02.968437,128,0.49175248181012454,192,3,0.0024440428500795363,30,10,COMPLETE
69,0.3242482195297877,2025-10-12 10:30:01.055665,2025-10-12 10:30:04.788847,0 days 00:00:03.733182,48,0.4978794497951509,192,3,0.0037767232293410974,60,10,COMPLETE
70,0.30462755262851715,2025-10-12 10:30:04.789850,2025-10-12 10:30:07.247046,0 days 00:00:02.457196,128,0.48393493984800956,192,3,0.0018107885099601633,30,10,COMPLETE
71,0.32767292857170105,2025-10-12 10:30:07.247998,2025-10-12 10:30:09.990205,0 days 00:00:02.742207,64,0.48724308790308685,192,3,0.0015092733261956423,90,10,COMPLETE
72,0.3231338560581207,2025-10-12 10:30:09.991047,2025-10-12 10:30:12.583270,0 days 00:00:02.592223,32,0.44685591665455104,160,3,0.001893820423483492,45,14,COMPLETE
73,0.3238460123538971,2025-10-12 10:30:12.584300,2025-10-12 10:30:15.043948,0 days 00:00:02.459648,32,0.47682002702037,96,3,0.004722063356442747,30,14,PRUNED
74,0.3002735376358032,2025-10-12 10:30:15.045561,2025-10-12 10:30:18.222976,0 days 00:00:03.177415,128,0.45697720038067496,192,3,0.0017529309496566118,60,7,COMPLETE
75,0.3759468197822571,2025-10-12 10:30:18.224014,2025-10-12 10:30:20.127280,0 days 00:00:01.903266,128,0.4826670987012736,192,3,0.000362028862736904,60,7,PRUNED
76,0.31760422388712567,2025-10-12 10:30:20.128100,2025-10-12 10:30:22.884316,0 days 00:00:02.756216,128,0.31085103747734777,192,3,0.00416344155624071,60,7,COMPLETE
77,0.36282143493493396,2025-10-12 10:30:22.885258,2025-10-12 10:30:25.338771,0 days 00:00:02.453513,128,0.4963287423187652,192,3,0.003511159095352753,90,21,COMPLETE
78,0.31382570167382556,2025-10-12 10:30:25.339762,2025-10-12 10:30:30.056498,0 days 00:00:04.716736,64,0.3317115022644613,192,3,0.0007746312076991552,60,7,COMPLETE
