number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.07006071632107098,2025-10-12 09:11:06.216100,2025-10-12 09:11:09.471992,0 days 00:00:03.255892,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.07184647402209099,2025-10-12 09:11:09.472810,2025-10-12 09:11:27.665602,0 days 00:00:18.192792,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.0904100719540354,2025-10-12 09:11:27.668048,2025-10-12 09:12:02.214343,0 days 00:00:34.546295,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.029385984875261784,2025-10-12 09:12:02.215408,2025-10-12 09:12:04.893819,0 days 00:00:02.678411,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.023511241811017197,2025-10-12 09:12:04.894648,2025-10-12 09:12:08.237887,0 days 00:00:03.343239,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,0.14110147953033447,2025-10-12 09:12:08.238892,2025-10-12 09:12:09.745219,0 days 00:00:01.506327,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,0.17990373075008392,2025-10-12 09:12:09.745963,2025-10-12 09:12:11.070061,0 days 00:00:01.324098,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,0.03551201894879341,2025-10-12 09:12:11.070818,2025-10-12 09:12:12.578714,0 days 00:00:01.507896,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,PRUNED
8,0.05285301843756124,2025-10-12 09:12:12.579478,2025-10-12 09:12:14.250377,0 days 00:00:01.670899,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,PRUNED
9,0.09759222716093063,2025-10-12 09:12:14.251218,2025-10-12 09:12:15.653522,0 days 00:00:01.402304,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,0.06046847626566887,2025-10-12 09:12:15.654330,2025-10-12 09:12:17.042529,0 days 00:00:01.388199,48,0.09324522839369946,96,2,0.004030569392910079,45,21,PRUNED
11,0.1289367308983436,2025-10-12 09:12:17.043327,2025-10-12 09:12:18.630393,0 days 00:00:01.587066,16,0.21836809098644178,192,3,0.0013925775134839646,30,10,PRUNED
12,0.013554852455854416,2025-10-12 09:12:18.631207,2025-10-12 09:12:21.001247,0 days 00:00:02.370040,16,0.44471368115060533,128,3,0.0006808731843226133,30,28,PRUNED
13,0.049856108923753105,2025-10-12 09:12:21.003043,2025-10-12 09:12:24.806588,0 days 00:00:03.803545,48,0.027807409174708225,96,3,0.0011286767684426178,75,10,COMPLETE
14,0.10520047694444656,2025-10-12 09:12:24.807500,2025-10-12 09:12:26.130373,0 days 00:00:01.322873,128,0.150934668655358,96,3,0.0028558488442130855,45,7,PRUNED
15,0.02241198904812336,2025-10-12 09:12:26.131491,2025-10-12 09:12:27.734413,0 days 00:00:01.602922,48,0.2579604872782544,192,3,0.002138786312846214,60,21,PRUNED
16,0.031910013995672525,2025-10-12 09:12:27.735204,2025-10-12 09:12:29.712079,0 days 00:00:01.976875,16,0.005299677439184414,128,3,0.001620424980720664,45,14,PRUNED
17,0.028619089474280674,2025-10-12 09:12:29.712738,2025-10-12 09:12:31.573837,0 days 00:00:01.861099,48,0.11338695933498932,160,3,0.0014665696950203159,45,28,COMPLETE
18,0.07285355776548386,2025-10-12 09:12:31.574732,2025-10-12 09:12:33.280998,0 days 00:00:01.706266,48,0.1169420716564383,160,3,0.0003168376798372112,45,14,PRUNED
19,0.026650962730248768,2025-10-12 09:12:33.282016,2025-10-12 09:12:35.777413,0 days 00:00:02.495397,48,0.21810802858847583,160,3,0.002244535045016755,45,28,COMPLETE
20,0.029156861826777458,2025-10-12 09:12:35.778318,2025-10-12 09:12:38.702304,0 days 00:00:02.923986,48,0.4088531522056318,160,3,0.0018578528077251427,75,28,COMPLETE
21,0.028284721076488495,2025-10-12 09:12:38.703131,2025-10-12 09:12:40.139356,0 days 00:00:01.436225,48,0.13278603436619107,192,3,0.0012737012257773494,45,28,PRUNED
22,0.05078904750216909,2025-10-12 09:12:40.140131,2025-10-12 09:12:44.780472,0 days 00:00:04.640341,48,0.22993818570253638,160,2,0.00154965602185214,45,5,PRUNED
23,0.030972329278786976,2025-10-12 09:12:44.781291,2025-10-12 09:12:47.638488,0 days 00:00:02.857197,48,0.08844384032278564,160,3,0.0018383795461132375,90,28,COMPLETE
24,0.0165988951921463,2025-10-12 09:12:47.641214,2025-10-12 09:12:49.309345,0 days 00:00:01.668131,96,0.2193624200097761,160,3,0.0017306805604443052,45,28,PRUNED
25,0.07663443684577942,2025-10-12 09:12:49.310055,2025-10-12 09:12:50.719305,0 days 00:00:01.409250,128,0.06325297250392446,96,3,0.0014333801596999906,90,21,PRUNED
26,0.09363874793052673,2025-10-12 09:12:50.720028,2025-10-12 09:12:52.021604,0 days 00:00:01.301576,64,0.056477932004502115,160,2,0.0007434418685196727,30,28,PRUNED
