epoch,train_mse,valid_mse
1,0.6914346258411204,0.49817418784438494
2,0.49778903686703313,0.46228365787488973
3,0.467655176263687,0.3882362216175673
4,0.43788644119938075,0.41212596605994745
5,0.4394335462529464,0.4288832475236076
6,0.3930194644104968,0.46795136093379497
7,0.42748141119064387,0.4011736734363133
8,0.3934623882227521,0.38983265011610385
9,0.3872305596002056,0.4315274620127535
10,0.37205604811155923,0.4356008055145869
11,0.34749588243053475,0.470692655997362
12,0.3144654438588967,0.5268710337713093
13,0.3364509913632878,0.4001596357204957
