number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_DROPOUT,params_HIDDEN,params_LAYERS,params_LR,params_MAX_DAYS,params_MIN_DAYS,state
0,0.7352403203646342,2025-10-12 10:25:52.748921,2025-10-12 10:25:55.730261,0 days 00:00:02.981340,32,0.2623782158161189,64,1,0.0005418282319533242,45,7,COMPLETE
1,0.47679497202924326,2025-10-12 10:25:55.731057,2025-10-12 10:26:08.518419,0 days 00:00:12.787362,32,0.017194260557609198,128,2,0.0035067764992972213,75,5,COMPLETE
2,0.4616878580307335,2025-10-12 10:26:08.519578,2025-10-12 10:26:46.124493,0 days 00:00:37.604915,16,0.40109849037701983,96,1,0.00013386261584543918,90,5,COMPLETE
3,0.6448980569839478,2025-10-12 10:26:46.125579,2025-10-12 10:26:48.527309,0 days 00:00:02.401730,16,0.3803925243084487,128,3,0.0008986552644007198,30,28,COMPLETE
4,0.5741579731305441,2025-10-12 10:26:48.528337,2025-10-12 10:26:50.873414,0 days 00:00:02.345077,48,0.09328502944301792,96,3,0.0032842103509117325,45,21,COMPLETE
5,0.6430485844612122,2025-10-12 10:26:50.874540,2025-10-12 10:26:52.408253,0 days 00:00:01.533713,48,0.24862425294619273,160,1,0.000324476480988986,75,10,PRUNED
6,1.3812367916107178,2025-10-12 10:26:52.408995,2025-10-12 10:26:53.707714,0 days 00:00:01.298719,32,0.09325925519992712,192,1,0.00011729398526129196,45,21,PRUNED
7,0.9670706391334534,2025-10-12 10:26:53.708372,2025-10-12 10:26:55.037137,0 days 00:00:01.328765,64,0.4502090285816652,64,3,0.0011902012049596242,45,14,PRUNED
8,1.0318777749412937,2025-10-12 10:26:55.037823,2025-10-12 10:26:56.413549,0 days 00:00:01.375726,16,0.37324570255901207,160,1,0.0012697166345350434,45,14,PRUNED
9,0.576798677444458,2025-10-12 10:26:56.414317,2025-10-12 10:26:57.862217,0 days 00:00:01.447900,64,0.45743219511022426,192,3,0.0004254891877710625,90,7,PRUNED
10,1.9721709489822388,2025-10-12 10:26:57.862884,2025-10-12 10:26:59.221619,0 days 00:00:01.358735,16,0.34985369348937084,96,1,0.000164396242069258,90,28,PRUNED
11,0.45992017929995715,2025-10-12 10:26:59.222327,2025-10-12 10:27:13.425354,0 days 00:00:14.203027,32,0.007121308865794327,128,2,0.00409505343344207,75,5,COMPLETE
12,0.4524700190580518,2025-10-12 10:27:13.426533,2025-10-12 10:27:25.130582,0 days 00:00:11.704049,96,0.16798755788099237,192,2,0.0027554762024014348,90,5,COMPLETE
